review_id,product_id,aspect,opinion,phrase,sentiment
58637,415,product,good,good product,positive
177756,934,today,great,great today,positive
177756,934,packaging,great,great packaging,positive
177756,934,quality,build,build quality,positive
127625,615,product,good,good product,positive
127658,615,product,good,good product,positive
126841,615,option,not available,not available option,negative
126841,615,use,not,not use,negative
127676,615,product,useless,useless product,negative
84511,496,apple,first,first apple,neutral
84511,496,performance,lightweight,lightweight performance,neutral
84511,496,p,high,high p,neutral
84511,496,portability,truly,truly portability,positive
84511,496,laptops,currently,currently laptops,neutral
84511,496,laptop,best,best laptop,positive
84118,496,buying,worth,worth buying,positive
121379,591,smooth,update,update smooth,positive
121379,591,bugs,even,even bugs,negative
121723,591,product,genuine,genuine product,positive
77400,473,cons,low,low cons,negative
78320,481,gaming,best,best gaming,positive
78320,481,price,cheap,cheap price,negative
78426,481,performance,good,good performance,positive
78426,481,battery,poor,poor battery,negative
83600,495,nice product,happy,happy nice product,positive
83600,495,product,less,less product,neutral
83600,495,money,less,less money,neutral
83522,495,work,smoothly,smoothly work,positive
36921,290,quality,good,good quality,positive
36965,290,product,nice,nice product,positive
182620,976,product,nice,nice product,positive
14198,174,quality,poor,poor quality,negative
14198,174,working,not properly,not properly working,negative
102483,542,product,good,good product,positive
89466,509,product,orignal,orignal product,neutral
134052,626,quality,low,low quality,neutral
134052,626,problem,uncontrollable,uncontrollable problem,negative
134052,626,waste,uncontrollable,uncontrollable waste,negative
134052,626,price,low,low price,negative
3071,105,quality,good,good quality,positive
164954,836,app,good,good app,positive
20745,195,fan,great,great fan,positive
20745,195,efficient,super,super efficient,positive
20745,195,installation,removal,removal installation,neutral
20745,195,air,less,less air,neutral
20745,195,noise,no even,no even noise,negative
70461,456,sun,harmful,harmful sun,negative
132735,622,product,nice,nice product,positive
132639,622,price,happy,happy price,positive
132639,622,gyser,awesome,awesome gyser,positive
131491,622,product,fabulous,fabulous product,positive
131491,622,person,coordial,coordial person,neutral
131491,622,delivery,coordial,coordial delivery,positive
131491,622,day,next,next day,neutral
132362,622,product,good,good product,positive
132362,622,working,properly,properly working,positive
193771,1023,product,ok,ok product,neutral
193455,1023,product,excellent,excellent product,positive
21074,196,worth,nice,nice worth,positive
21935,199,weight,light,light weight,neutral
21935,199,fan,nice,nice fan,positive
21452,199,speeddont,low,low speeddont,negative
21888,199,fanworks,nice,nice fanworks,positive
21969,199,product,worthy,worthy product,positive
21969,199,suggestion,personal,personal suggestion,neutral
22457,199,product,nice,nice product,positive
22457,199,speed,not high,not high speed,neutral
22457,199,product,not,not product,negative
31516,259,product,worstest,worstest product,negative
13615,164,work,good,good work,positive
12730,146,experience,worst,worst experience,negative
12730,146,buy,dont,dont buy,neutral
12730,146,cleaning,no good,no good cleaning,negative
141604,697,kapda,nice,nice kapda,positive
141604,697,cotton,pure,pure cotton,positive
141019,696,quality,good,good quality,positive
174887,915,product,good,good product,positive
174156,915,experience,automatic,automatic experience,positive
174156,915,products,good,good products,positive
174156,915,cut,automatically,automatically cut,negative
174156,915,raise,automatic,automatic raise,negative
34670,282,product,nice,nice product,positive
34755,282,fregnens,good,good fregnens,positive
34784,282,product,good,good product,positive
34230,280,get,specially,specially get,positive
34230,280,luxury,perfume,perfume luxury,neutral
34230,280,packaging,good,good packaging,positive
34404,280,perfumes,intense,intense perfumes,neutral
34404,280,perfume,amazing,amazing perfume,positive
34404,280,bases,daily,daily bases,positive
34404,280,bases,also,also bases,neutral
34404,280,time,long,long time,neutral
60572,421,flipkart,u,u flipkart,neutral
148160,743,book,nice,nice book,positive
43300,330,product,good,good product,positive
43227,330,product,nice,nice product,positive
86380,503,fripkart,tq,tq fripkart,negative
86380,503,mixi,best,best mixi,positive
16620,187,product,nice,nice product,positive
88160,506,quality,good,good quality,positive
88022,506,noise,loud,loud noise,negative
88022,506,product,bad,bad product,negative
88022,506,motar,loud,loud motar,neutral
88666,506,product,nice,nice product,positive
134930,630,performance,not,not performance,negative
136652,650,productdelivery,nice,nice productdelivery,positive
136652,650,nice productdelivery package,good,good nice productdelivery package,positive
9841,123,product,good,good product,positive
9841,123,experience,better,better experience,neutral
159072,788,worth,super,super worth,positive
159483,788,product,nice,nice product,positive
159320,788,shopping,best,best shopping,positive
158825,788,product,nice,nice product,positive
158825,788,nice product sturdiness,good,good nice product sturdiness,positive
158825,788,assemble rest,fine,fine assemble rest,neutral
158986,788,product,best,best product,positive
73534,467,football,good,good football,positive
73534,467,quantity,good,good quantity,positive
21240,197,motor,central,central motor,neutral
21240,197,central motor body,small,small central motor body,neutral
7581,115,qwlity,good,good qwlity,positive
7581,115,dslr,suparab,suparab dslr,neutral
7581,115,cost,low,low cost,negative
6075,115,length,focal,focal length,neutral
6075,115,exposure,much,much exposure,neutral
6075,115,purchase,terrific,terrific purchase,positive
6075,115,dslr,first,first dslr,neutral
7042,115,thing,best,best thing,positive
6622,115,camera,nice,nice camera,positive
6879,115,camera,good,good camera,positive
7327,115,lens,additional,additional lens,neutral
7327,115,photography,better,better photography,neutral
7327,115,entry,basic,basic entry,neutral
7327,115,better photography quality,awesome,awesome better photography quality,positive
91830,526,jugad,indian,indian jugad,neutral
91830,526,cloththe,mobile,mobile cloththe,neutral
91830,526,cloththe mobile gripper,bit,bit cloththe mobile gripper,neutral
91830,526,stand,firm,firm stand,positive
91830,526,holder,mobile,mobile holder,neutral
91830,526,stand,however,however stand,neutral
126059,606,product,worst,worst product,negative
126001,606,product,nice,nice product,positive
77672,476,item,fantastic,fantastic item,positive
1909,103,good deliveryproduct,nice,nice good deliveryproduct,positive
1038,103,need,highno,highno need,neutral
1038,103,cooling level,highno,highno cooling level,neutral
1111,103,pump,usage,usage pump,neutral
21401,198,product,worng,worng product,neutral
107681,565,network,good,good network,positive
107681,565,routers,also,also routers,neutral
107681,565,range,good,good range,positive
107681,565,router,compact,compact router,positive
107681,565,routers,different,different routers,neutral
107681,565,router,best,best router,positive
107514,565,frequency,good,good frequency,positive
38760,301,daughter,really,really daughter,neutral
39058,301,gift,excellent,excellent gift,positive
38871,301,products,nice,nice products,positive
38412,301,product,nice,nice product,positive
39448,301,product,good,good product,positive
39230,301,quality,good,good quality,positive
106077,554,quality,good,good quality,positive
82490,493,ok product,nice,nice ok product,positive
36468,284,size,big,big size,neutral
72680,460,quality,good,good quality,positive
35484,283,perfume,best,best perfume,positive
35444,283,smell,atrective,atrective smell,negative
35295,283,fragrance,long,long fragrance,negative
35295,283,fragrance,good,good fragrance,neutral
128365,616,suction,ow,ow suction,neutral
195359,1033,product,good,good product,positive
169923,892,value,good,good value,positive
32332,263,quality,build,build quality,positive
32332,263,sound,awesome,awesome sound,positive
154821,777,quality,good,good quality,positive
9156,120,product,nice,nice product,positive
111585,574,quality,not,not quality,negative
111585,574,quality,not good,not good quality,negative
111683,575,quality,poor,poor quality,negative
5393,113,beckup,good,good beckup,positive
5393,113,betry,best,best betry,neutral
5393,113,quality,sound,sound quality,positive
5393,113,design,good,good design,positive
142310,705,colour,attractive,attractive colour,positive
142310,705,capacity,full,full capacity,positive
142310,705,timepros,second,second timepros,neutral
142310,705,quality,better,better quality,neutral
142310,705,cover,thin,thin cover,negative
142310,705,cabinet,strong2,strong2 cabinet,positive
92029,528,product,nice,nice product,positive
191234,1009,product,good,good product,positive
30674,252,product,nice,nice product,positive
27221,243,products,nice,nice products,positive
68202,444,shoe bottom,bad,bad shoe bottom,negative
195071,1032,product,not,not product,negative
195071,1032,term,long,long term,neutral
195071,1032,use,temporary,temporary use,negative
195071,1032,shops,local,local shops,neutral
195071,1032,products,sturdy,sturdy products,positive
185776,993,fits,correct,correct fits,neutral
185776,993,flipkart siteand size,correct,correct flipkart siteand size,neutral
185776,993,siteand,flipkart,flipkart siteand,neutral
185776,993,material,thin,thin material,negative
185776,993,tvlooks,good,good tvlooks,positive
185776,993,tv,nice,nice tv,positive
185776,993,back side,thin,thin back side,negative
91012,520,product,not good,not good product,negative
148279,745,build quality,poor,poor build quality,negative
15761,182,quality,poor,poor quality,negative
15191,181,product,nice,nice product,positive
15141,181,product,good,good product,positive
171377,902,buy,wastedont,wastedont buy,negative
171377,902,months,not,not months,negative
171234,902,hiternice,fast,fast hiternice,neutral
185154,989,product,good,good product,positive
184674,707,product,good,good product,positive
184881,707,finishing,fine,fine finishing,positive
184881,707,room,leaving,leaving room,negative
184881,707,product,similar,similar product,neutral
184881,707,piceand,also,also piceand,neutral
184881,707,standing layers shelves,smaller,smaller standing layers shelves,neutral
184881,707,price,super,super price,positive
184881,707,product,nice,nice product,positive
184881,707,appearance,piecein,piecein appearance,neutral
184520,986,products,nice,nice products,positive
183506,981,delivery,prodect,prodect delivery,positive
125204,604,product,nice,nice product,positive
24451,229,product,nice,nice product,positive
25361,230,volume,high,high volume,neutral
25361,230,phonerest everything,nice,nice phonerest everything,positive
25361,230,reduces,considerably,considerably reduces,negative
25361,230,sound,good,good sound,positive
25966,230,assistant,still,still assistant,neutral
25966,230,assistant,good,good assistant,positive
25140,230,speakers,smart,smart speakers,positive
25140,230,sound,good,good sound,positive
25140,230,thank,good,good thank,positive
25140,230,product,great,great product,positive
25140,230,quality,really,really quality,positive
25579,230,speaker,best,best speaker,positive
24599,230,product,nice,nice product,positive
24599,230,bulbs,smart,smart bulbs,positive
24599,230,apps,multiple,multiple apps,neutral
24599,230,bulbs,as,as bulbs,neutral
25401,230,packaging,good,good packaging,positive
25401,230,negatives,useno,useno negatives,negative
25401,230,next level bass,perfect,perfect next level bass,positive
25401,230,sound,much,much sound,neutral
25401,230,productlooks,great,great productlooks,positive
25401,230,level,next,next level,neutral
25401,230,much sound quality,next,next much sound quality,positive
183988,846,seeds,not,not seeds,negative
183988,846,produced,single,single produced,negative
61624,425,bag,nice,nice bag,positive
61624,425,quality,also,also quality,positive
80149,488,quality,good,good quality,positive
81035,488,product,good,good product,positive
80977,488,products,good,good products,positive
79810,488,everyone,favourite,favourite everyone,positive
79810,488,greasy,non,non greasy,negative
179257,954,thank,super,super thank,positive
179106,952,daughter,nice,nice daughter,positive
179568,959,quality,good,good quality,positive
178611,944,product,nice,nice product,positive
176667,926,delivery,not,not delivery,negative
176667,926,boy,not,not boy,negative
176667,926,okim,happy,happy okim,positive
70361,455,best,good,good best,positive
84878,500,good speaker quality,bad,bad good speaker quality,neutral
84878,500,display,not good,not good display,negative
84878,500,touch pad,hard,hard touch pad,neutral
84878,500,speaker,not good,not good speaker,negative
84878,500,board,key,key board,neutral
101742,537,use,not commercial,not commercial use,neutral
101742,537,product,costly,costly product,neutral
101742,537,office,small,small office,neutral
79195,487,days,confused,confused days,negative
79195,487,difference overall,happy,happy difference overall,positive
79195,487,difference,overall,overall difference,neutral
79195,487,laptop,good,good laptop,positive
79195,487,notice,cant,cant notice,neutral
85145,487,text,small,small text,neutral
85145,487,blurry,little,little blurry,neutral
85145,487,windows,especially,especially windows,neutral
85145,487,laptopthere,good,good laptopthere,positive
85145,487,click,deliberate,deliberate click,negative
85145,487,lesse,much,much lesse,neutral
85145,487,blurry,less,less blurry,neutral
85145,487,macbook keypad,much,much macbook keypad,neutral
79196,487,good keyboard experience,goodi,goodi good keyboard experience,positive
79196,487,hours,backlit,backlit hours,neutral
79196,487,sec everything,good,good sec everything,positive
79196,487,keyboard,backlit,backlit keyboard,negative
79196,487,keyboard,good,good keyboard,positive
79196,487,pricebuilt quality,good,good pricebuilt quality,positive
69862,452,job,good,good job,positive
129857,619,product,nice,nice product,positive
129857,619,colours,awesome,awesome colours,positive
129858,619,glass,transparent,transparent glass,neutral
129858,619,display,no digital,no digital display,neutral
130247,619,purchase,thus,thus purchase,neutral
130247,619,product,th,th product,neutral
130247,619,wash cycle,perfect,perfect wash cycle,positive
130247,619,sound,low,low sound,negative
130247,619,chance,less,less chance,neutral
130247,619,jerking tub,strong,strong jerking tub,positive
130247,619,shock,electric,electric shock,neutral
130247,619,machine,best,best machine,positive
130247,619,motor,best,best motor,positive
180052,972,product,nice,nice product,positive
166949,850,product,good,good product,positive
167047,850,product,low,low product,negative
167047,850,price,high,high price,neutral
8434,116,done,successfully,successfully done,positive
8160,116,product,good,good product,positive
8111,116,value,good,good value,positive
8111,116,service,excellent,excellent service,positive
8111,116,product,excellent,excellent product,positive
168686,877,product,good,good product,positive
154078,775,fabric,good,good fabric,positive
152701,775,chosen,flipkart,flipkart chosen,positive
152701,775,sizes,good,good sizes,positive
152701,775,product,right,right product,positive
154284,775,product,nice,nice product,positive
154284,775,qualitythanks,flipcart,flipcart qualitythanks,positive
152510,773,vasool,nice,nice vasool,positive
152510,773,paisa,full,full paisa,neutral
152510,773,design,nice,nice design,positive
5125,111,quality,bad,bad quality,negative
123318,596,product,good,good product,positive
192776,1021,number,sufficient,sufficient number,neutral
192776,1021,value,good,good value,positive
192776,1021,day,next,next day,neutral
192940,1021,product,good,good product,positive
192940,1021,demo,also,also demo,negative
192940,1021,day,next,next day,neutral
12115,141,product,nice,nice product,positive
12413,143,routine,daily,daily routine,neutral
12413,143,utensils,cleanhygienic,cleanhygienic utensils,neutral
13070,148,modes,multiple,multiple modes,neutral
23770,223,quality,good,good quality,positive
95185,521,charger,good,good charger,positive
167435,855,quality,not good,not good quality,negative
134700,628,product,good,good product,positive
133256,624,service,good,good service,positive
133256,624,thanks,flipkart,flipkart thanks,neutral
137228,652,noise,much,much noise,negative
137228,652,sleep,cant,cant sleep,negative
137228,652,baby,cant,cant baby,neutral
165780,842,quality,good,good quality,positive
165714,841,experience,pathetic,pathetic experience,negative
30854,253,diaper,nice,nice diaper,positive
155375,782,product,good,good product,positive
156063,782,cushion,nice,nice cushion,positive
156849,782,product,nyc,nyc product,neutral
145653,715,product,outstanding,outstanding product,positive
69238,446,products,good,good products,positive
68836,445,product,nice,nice product,positive
133579,625,water,bhubaneswar,bhubaneswar water,neutral
133579,625,tds,checked,checked tds,negative
133579,625,usage,proper,proper usage,neutral
133579,625,tds,standard,standard tds,neutral
133579,625,tds,yet,yet tds,neutral
133579,625,odisha,bhubaneswar,bhubaneswar odisha,neutral
133579,625,tolerance,standard,standard tolerance,neutral
133579,625,tolerance,still,still tolerance,neutral
133579,625,product,nice,nice product,positive
