product_name,sentiment,input_text,target_summary
Men Solid Single Breasted Casual Blazer (Grey),positive,summarize what people like about Men Solid Single Breasted Casual Blazer (Grey): blindly go for it osm but select proper size [SEP] this a great casual blazer for casual use the quality is decent as per price n [SEP] unexpected loved it amazing quality light in weight premium looklooks different [SEP] nice fitting color soft comfort [SEP] very nice quality blazer i like it very much,unexpected loved it amazing quality light in weight premium looklooks different
"TXOR NEXUS with Heart Rate & BP Monitor 35mm Screen Black Smartwatch? ? (Black Strap, Standard)",negative,"summarize what people dislike about TXOR NEXUS with Heart Rate & BP Monitor 35mm Screen Black Smartwatch? ? (Black Strap, Standard): dont buy very bad product [SEP] very bad product plz dont purchase [SEP] please dont buy always charging problem [SEP] not changing and not on [SEP] very poor this is very poor products",please dont buy always charging problem
colcum Collapsible Wardrobe 88130 Micro Fiber Collapsible WardrobeFinish Color Maroon DIYDoItYourself,negative,summarize what people dislike about colcum Collapsible Wardrobe 88130 Micro Fiber Collapsible WardrobeFinish Color Maroon DIYDoItYourself: finishing not accepted re return terms [SEP] very bad productwanted to returnbut there are lot of awful formalities to returni just throw it i just lost my money by purchasing this productalso my hand cutted during i was trying to install it [SEP] cheap quality materials incomplete set installation is hard [SEP] worstdont fall for images [SEP] its pathetic cover is too short it teared when i put i need to change it,very bad productwanted to returnbut there are lot of awful formalities to returni just throw it i just lost my money by purchasing this productalso my hand cutted during i was trying to install it
"Men Solid Single Breasted Casual, Wedding Blazer (Black)",positive,"summarize what people like about Men Solid Single Breasted Casual, Wedding Blazer (Black): awesome thnku filpkart [SEP] nice cloth nice feeting [SEP] thanku flipkart u make me happy [SEP] awsm product in this range [SEP] so very nice and so thank you flipkart",so very nice and so thank you flipkart
Track Pant For Baby Boys Baby GirlsMulticolor Pack of 5,negative,summarize what people dislike about Track Pant For Baby Boys Baby GirlsMulticolor Pack of 5: material is not that great ok [SEP] products are very bad [SEP] color coming out in first washits harmful for babies to weardont recommend [SEP] quality is very bad too much price [SEP] the product of flipkart is very bad v ery very bad product i dont like flipkart,the product of flipkart is very bad v ery very bad product i dont like flipkart
Qubo Outdoor Cam by HERO GROUP IP65 1080p Full HD CCTV with Intruder Alarm System Security Camera1 Channel,negative,summarize what people dislike about Qubo Outdoor Cam by HERO GROUP IP65 1080p Full HD CCTV with Intruder Alarm System Security Camera1 Channel: excellent camera by hero group but made in china product so i am not happy [SEP] not connected to wifi after scan of qr code as given the instruction device replied as not got connect to wifi for wifi password but there no password set in the wifi router device i will replace ibeiman company waste service dont buy this product trust me very bad service and product [SEP] camera connected problem [SEP] not fit for outdoor camera [SEP] its very bad dont buy its not constitute record,not connected to wifi after scan of qr code as given the instruction device replied as not got connect to wifi for wifi password but there no password set in the wifi router device i will replace ibeiman company waste service dont buy this product trust me very bad service and pr
"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming Keyboard? ? (Black)",positive,"summarize what people like about RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming Keyboard? ? (Black): good quality product with 7 colour led light gives deadly look to this gaming keyboardthe body of this keyboard feels sturdy strong and stablebuild quality is superb at this aforadable pricenow i have a complete set to play games [SEP] i like the keyboard and mouse very much but one side of the mouse has no light its ok very good quality recommend [SEP] good product for the price the keys are good nit that great and u cant change the rgb it is fixed [SEP] the product is good and impressive i impressed my crush and friends you can impress everyone so dont think just buy this product the typeing experience is awesome and gaming experience is was unbelievable your parents accept this productthis review is paid just kidding man its not paid its fair review ok [SEP] amazing build qualitybudget friendly though the keyboard only has still lighting but allover a value product",the product is good and impressive i impressed my crush and friends you can impress everyone so dont think just buy this product the typeing experience is awesome and gaming experience is was unbelievable your parents accept this productthis review is paid just kidding man its no
Men Blue Genuine Leather Wallet - Mini (6 Card Slots),positive,summarize what people like about Men Blue Genuine Leather Wallet - Mini (6 Card Slots): very good product too much space for my money as well as my cards 2 slots for cash and pouch available for coinsnavy blue colour with geniuine leather and believe me no threads are coming out best thing is lock is available for card compartments so it will never come out that logo of urban forest is killer on outside go for it blindly believe me i have done a lot of research before ordering it it will not go in vain give a like when u are satisfied with this wallet [SEP] the look and feel of the wallet is quite delightful you can definately go for it [SEP] highly satisfied product delivered prior the said date thank you flipkart [SEP] lovely product as expected [SEP] good quality pure leatheryou also check,very good product too much space for my money as well as my cards 2 slots for cash and pouch available for coinsnavy blue colour with geniuine leather and believe me no threads are coming out best thing is lock is available for card compartments so it will never come out that log
Mi TV Stick with Built in Chromecast (Black),positive,summarize what people like about Mi TV Stick with Built in Chromecast (Black): got it delivered within a day i connected using my phones hotspot and it worked flawlessly with data saver on audio quality is good google assistant is fast the remote is tiny which i liked but would have loved if it had few more hotkeys on it for youtube and play store considering theres still some space chromecast works fine when you connect your mi tv stick and phone with same wifii watched a prime movie same day and it was a good experience i personally liked this as you can ca [SEP] nice product for screen casting remember off the data saver and go to settings apps view phone media force stop and now in smartphone go to settings and choose wireless display or you can do with google home appnice product simply buy it if your tv is dabba make it smart [SEP] good way to transform your normal tv to a smart tv space could be tight to fit the stick some might need a hdmi cable extender like we did picture attached for reference works just perfectly [SEP] mindblowing item again mi proved their quality fantastic features subsidiary of android television picture and sound quality is awesome price is ok blindly buy it xtra ordinary product for non smart tv [SEP] received the product today so heres my review for itthe device is small and fits perfectly behind your tv doesnt feel cheap at all works fine the setup was fast and easy on the home screen sliding through the apps the performance is nice and smooth for optimal experience ill suggest it to use with the original charger the one that came inside the box the video quality is good and the sound is also nice and clear so the movie watching experience is great overall i dont have,got it delivered within a day i connected using my phones hotspot and it worked flawlessly with data saver on audio quality is good google assistant is fast the remote is tiny which i liked but would have loved if it had few more hotkeys on it for youtube and play store consideri
Auto Hub Microfiber Vehicle Washing ClothPack Of 4 800 GSM,negative,summarize what people dislike about Auto Hub Microfiber Vehicle Washing ClothPack Of 4 800 GSM: on the product description size mentioned as 40x 40cm but i have received the item with 40 x 30cm size i should return the item now and place a new order if i place a new order i wont get the item with lesser price or no guarantee in getting 40 x 40 cm size product waste of time and money on this average quality of the item [SEP] very bad its not 800 gsm product pls dont waste ur money,on the product description size mentioned as 40x 40cm but i have received the item with 40 x 30cm size i should return the item now and place a new order if i place a new order i wont get the item with lesser price or no guarantee in getting 40 x 40 cm size product waste of time
