product_id,type,input_text,target_summary,num_reviews
615,pros,summarize pros: good product nyc good product go for it nice and compact nice,good product nyc,5
615,cons,summarize cons: not good product heating up in just a min of use not option available to return it too the product is useless and waste of money,not good product heating up in just a min of use not option available to return it too,3
496,pros,summarize pros: the macbook air m1 is the first apple product that ive purchased and i must say that it is but far the best laptop that ive ever used it easily outclasses most of the laptops currently available especially in terms of portability being truly lightweight performance display sound output and battery life the packaging the product arrived in was very good and that is highly commendable from my perspective i would recommend you this laptop if you want a portable lightweight high p just buy and feel the power of mac good worth buying product,the macbook air m1 is the first apple product that ive purchased and i must say that it is but far the best laptop that ive ever used it easily outclasses most of the laptops currently available especially in terms of portability being truly lightweight performance display sound output and battery life the packaging the product arrived in was very good and that is highly commendable from my perspective i would recommend you this laptop if you want a portable lightweight high p just buy and feel the power of mac,4
591,pros,summarize pros: best ever experience best but lot of bugs even after update smooth but i have to feel more comfortable by using mac fantastic reasonably priced ipad loved it thanks flipkart for a genuine product perfect best for gaming and net surfing,best ever experience best but lot of bugs even after update smooth but i have to feel more comfortable by using mac,5
509,pros,summarize pros: awesome orignal product thanx flipkart,awesome orignal product,3
622,pros,summarize pros: good nice product on this range work very well awesome gyser in this price happy after using 1 month i am very happy for buy this fabulous product delivered in a day installation done one next day of delivery coordial person came for installation good good bahut hi achha hai anybody buy this very good product working properly,good nice product on this range work very well,9
199,pros,summarize pros: fan is nice but light weight nice fanworks as expected good my personal suggestion must buy worthy product nice product not high speed but super,fan is nice but light weight nice fanworks as expected,5
697,pros,summarize pros: good nice kapda pure cotton hai nice so soft,good nice kapda pure cotton hai,3
915,pros,summarize pros: goog good product liked this product good good nice these price rate products good in myself experience automatic raise temperature cut automatically good nice in my range amazing,goog good product,9
421,pros,summarize pros: i love nice i loved it thenk u flipkart,i love nice,3
330,pros,summarize pros: very nice luved it good product good one nice product good,very nice luved it,6
506,pros,summarize pros: good quality very nice product this price range super,good quality very nice product this price range,3
788,pros,summarize pros: good super worth for price very nice product thank you flipkart vry nicego fr it my best shopping centre flipkarti love ur all products my best shopping experience with flipkart nice product sturdiness is good a little difficult to assemble rest is fine best product nice one,good super worth for price,8
115,pros,summarize pros: low cost dslr suparab good qwlity terrific purchase i would like say before judging this product on the basis of looks and picture posted by others for this product wont give much exposure for whom just want to buy a dslr i would say better get some knowledge about dslr first how to operate it like what is aperture focal length and shutter speed once you have this knowledge you can do anything and everything about photography with this product good for beginnersu can see the picture quality excellent worth every penny one of the best thing i purchased from this app thank you flipkart nice camera good camera basic entry level camera for beginners you have to buy additional lens for better photography quality is awesome best for beginners,low cost dslr suparab good qwlity terrific purchase i would like say before judging this product on the basis of looks and picture posted by others for this product wont give much exposure for whom just want to buy a dslr i would say better get some knowledge about dslr first how to operate it like what is aperture focal length and shutter speed once you have this knowledge you can do anything and everything about photography with this product,9
103,pros,summarize pros: thanks for quick and good deliveryproduct is very nice with zero defects very nice cooling level is very highno need of ac if you have this cooler good,thanks for quick and good deliveryproduct is very nice with zero defects very nice,4
301,pros,summarize pros: it was liked by my daughter really happy with this product good super excellent gift for kids its very nice really nice products very nice product for a child good product should buy worth for money good quality very happy,it was liked by my daughter really happy with this product good,10
493,pros,summarize pros: ok product is nice good always good nice,ok product is nice good,4
283,pros,summarize pros: nice really nice best perfume for boys 200 the smell was atrective good fragrance long lasting,nice really nice,5
712,pros,summarize pros: superb good owsem,superb good,3
181,pros,summarize pros: very nice product super good product very good,very nice product super,4
